Quantidade ,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
56,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,black viper termogênico,8/12/22 0:00,Ilimitado,333,7,2.10%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.83,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
57,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogenico probiotica,8/12/22 0:00,Ilimitado,173,4,2.31%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.48,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
58,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,thermogenico,8/12/22 0:00,Ilimitado,177,10,5.65%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
59,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,hot termogênico,8/12/22 0:00,Ilimitado,463,5,1.08%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.60,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
60,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,thermo black,8/12/22 0:00,Ilimitado,184,2,1.09%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.25,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
61,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico feminino,8/12/22 0:00,Ilimitado,223,9,4.04%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.05,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
62,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico importado,8/12/22 0:00,Ilimitado,201,3,1.49%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.35,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
63,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico natural,8/12/22 0:00,Ilimitado,65,2,3.08%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
64,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,suplementos termogênico,8/12/22 0:00,Ilimitado,1307,31,2.37%,2,2,6.45%,6.45%,1.84,1.84,2,2,78.00,78.00,3.68,21.2,21.2,4.72%,4.72%,N/A,N/A,N/A
65,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico perda de peso,8/12/22 0:00,Ilimitado,422,7,1.66%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.83,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
66,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,lipo 6 black original,8/12/22 0:00,Ilimitado,581,14,2.41%,2,2,14.29%,14.29%,0.81,0.81,2,2,78.00,78.00,1.62,48.15,48.15,2.08%,2.08%,N/A,N/A,N/A
67,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico integralmedica,8/12/22 0:00,Ilimitado,619,18,2.91%,1,1,5.56%,5.56%,2.14,2.14,1,1,39.00,39.00,2.14,18.22,18.22,5.49%,5.49%,N/A,N/A,N/A
68,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico,8/12/22 0:00,Ilimitado,374,9,2.41%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.10,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
69,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogenico emagrecedor,8/12/22 0:00,Ilimitado,708,17,2.40%,2,2,11.76%,11.76%,1.04,1.04,2,2,78.00,78.00,2.09,37.32,37.32,2.68%,2.68%,N/A,N/A,N/A
70,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênicos,8/12/22 0:00,Ilimitado,260,8,3.08%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.96,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
71,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,hot termogenico,8/12/22 0:00,Ilimitado,151,3,1.99%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.35,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
72,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico growth,8/12/22 0:00,Ilimitado,202,4,1.98%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.49,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
73,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,lipo 6 black importado,8/12/22 0:00,Ilimitado,204,4,1.96%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.51,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
74,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,lipo 6 black 120,8/12/22 0:00,Ilimitado,2052,53,2.58%,1,1,1.89%,1.89%,6.45,6.45,1,1,39.00,39.00,6.45,6.05,6.05,16.54%,16.54%,N/A,N/A,N/A
75,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,lipo 6 black,8/12/22 0:00,Ilimitado,392,6,1.53%,1,1,16.67%,16.67%,0.73,0.73,1,1,39.00,39.00,0.73,53.42,53.42,1.87%,1.87%,N/A,N/A,N/A
76,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,lipo 6 black ultra concentrado,8/12/22 0:00,Ilimitado,533,11,2.06%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.33,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
77,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico black skull,8/12/22 0:00,Ilimitado,411,8,1.95%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.98,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
78,PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Pausado,16326971181,Anúncio de Busca de Produtos,termogênico natural,10/8/22 0:00,Ilimitado,4022,113,2.81%,9,8,7.96%,7.08%,1.60,1.80,10,9,349.27,314.37,14.44,24.19,21.77,4.13%,4.59%,N/A,N/A,N/A
79,PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Pausado,16326971181,Anúncio de Busca de Produtos,termomax,10/8/22 0:00,Ilimitado,2000,64,3.20%,6,6,9.38%,9.38%,1.29,1.29,6,6,201.58,201.58,7.77,25.94,25.94,3.85%,3.85%,N/A,N/A,N/A
80,PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Pausado,16326971181,Anúncio de Busca de Produtos,thermo max,10/8/22 0:00,Ilimitado,3254,107,3.29%,10,9,9.35%,8.41%,1.29,1.43,10,9,344.34,305.34,12.89,26.71,23.69,3.74%,4.22%,N/A,N/A,N/A
81,PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Pausado,16326971181,Anúncio de Busca de Produtos,thermomax,10/8/22 0:00,Ilimitado,742,16,2.16%,1,1,6.25%,6.25%,1.89,1.89,1,1,34.93,34.93,1.89,18.48,18.48,5.41%,5.41%,N/A,N/A,N/A
82,PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Pausado,16326971181,Anúncio de Busca de Produtos,termo max,10/8/22 0:00,Ilimitado,1418,43,3.03%,8,7,18.60%,16.28%,0.65,0.74,8,7,334.46,244.51,5.16,64.82,47.39,1.54%,2.11%,N/A,N/A,N/A
83,PRÉ TREINO THERMOMAX ACTIVE FAT BURNER C/ THERMO PHASE BORERCAPS 1.000mg/dose,Pausado,16326971181,Anúncio de Busca de Produtos,termogenico emagrecedor,10/8/22 0:00,Ilimitado,4606,119,2.58%,11,11,9.24%,9.24%,1.33,1.33,11,11,384.23,384.23,14.62,26.28,26.28,3.81%,3.81%,N/A,N/A,N/A
84,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,quitosana,11/19/23 0:00,2/26/24 21:19,1915,35,1.83%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,4.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
