Nome do Produto,Status,ID do produto,Tipos de Anuncios,localizacao-palavra-chave-dropdown,Data de Inicio,Data de Encerramento,Impressao,Cliques,CTR,Conversoes,Conversoes Diretas,Taxa de Conversao,Taxa de Conversao Direta,Custo por Conversao,Custo por Conversao Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressoes do Produto,Cliques de Produtos,CTR do Produto,Impressao por venda efetiva
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,lipo 6 black 120,12/08/2022 00:00,Ilimitado,1970,51,2.59%,1,1,1.96%,1.96%,6.23,6.23,1,1,39.00,39.00,6.23,6.26,6.26,15.97%,15.97%,N/A,N/A,N/A,1970
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico importado,12/08/2022 00:00,Ilimitado,193,3,1.55%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.35,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,queimar gordura,26/07/2022 00:00,Ilimitado,20,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,emagrecedores,26/07/2022 00:00,Ilimitado,2006,61,3.04%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,7.75,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,chás emagrecedor,26/07/2022 00:00,Ilimitado,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,suplemento emagrecedor,26/07/2022 00:00,Ilimitado,3755,98,2.61%,3,2,3.06%,2.04%,4.17,6.25,3,2,119.77,84.87,12.50,9.58,6.79,10.44%,14.73%,N/A,N/A,N/A,1252
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,queima de gordura,26/07/2022 00:00,Ilimitado,1058,36,3.40%,1,1,2.78%,2.78%,4.37,4.37,1,1,34.97,34.97,4.37,8.0,8.0,12.50%,12.50%,N/A,N/A,N/A,1058
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,kit emagrecedor,26/07/2022 00:00,Ilimitado,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,termogenico emagrecedor,26/07/2022 00:00,Ilimitado,2098,42,2.00%,2,1,4.76%,2.38%,2.74,5.48,2,1,144.35,49.90,5.48,26.34,9.11,3.80%,10.98%,N/A,N/A,N/A,1049
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,gordura abdominal,26/07/2022 00:00,Ilimitado,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,queimador gordura,26/07/2022 00:00,Ilimitado,13,1,7.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.12,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,thermo max,26/07/2022 00:00,Ilimitado,8,1,12.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.13,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,suplemento para emagrecer,26/07/2022 00:00,Ilimitado,4,1,25.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,gordura,26/07/2022 00:00,Ilimitado,14,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
